Image,Prediction,True Label,Similarity
data/ImageNet/ILSVRC/Images\n02097474\ILSVRC2012_val_00014109.JPEG,a realistic image of category n02790996,n02097474,0.19592563807964325
data/ImageNet/ILSVRC/Images\n03720891\ILSVRC2012_val_00036607.JPEG,a realistic image of category n03201208,n03720891,0.16308735311031342
data/ImageNet/ILSVRC/Images\n07742313\ILSVRC2012_val_00046567.JPEG,a realistic image of category n13044778,n07742313,0.24582427740097046
data/ImageNet/ILSVRC/Images\n02231487\ILSVRC2012_val_00035534.JPEG,a realistic image of category n02120079,n02231487,0.20894308388233185
data/ImageNet/ILSVRC/Images\n03891332\ILSVRC2012_val_00038587.JPEG,a realistic image of category n04141975,n03891332,0.15802808105945587
data/ImageNet/ILSVRC/Images\n04147183\ILSVRC2012_val_00003088.JPEG,a realistic image of category n02100735,n04147183,0.16676627099514008
data/ImageNet/ILSVRC/Images\n02086079\ILSVRC2012_val_00022788.JPEG,a realistic image of category n02120079,n02086079,0.2102603018283844
data/ImageNet/ILSVRC/Images\n04423845\ILSVRC2012_val_00042122.JPEG,a realistic image of category n12998815,n04423845,0.2066710889339447
data/ImageNet/ILSVRC/Images\n03916031\ILSVRC2012_val_00043190.JPEG,a realistic image of category n01990800,n03916031,0.1708374321460724
data/ImageNet/ILSVRC/Images\n02342885\ILSVRC2012_val_00023969.JPEG,a realistic image of category n04201297,n02342885,0.1892729550600052
data/ImageNet/ILSVRC/Images\n03967562\ILSVRC2012_val_00041970.JPEG,a realistic image of category n04200800,n03967562,0.18096034228801727
data/ImageNet/ILSVRC/Images\n09246464\ILSVRC2012_val_00049885.JPEG,a realistic image of category n04200800,n09246464,0.18109926581382751
data/ImageNet/ILSVRC/Images\n01685808\ILSVRC2012_val_00034699.JPEG,a realistic image of category n02120079,n01685808,0.2131126970052719
data/ImageNet/ILSVRC/Images\n07871810\ILSVRC2012_val_00014713.JPEG,a realistic image of category n03272010,n07871810,0.19644081592559814
data/ImageNet/ILSVRC/Images\n07614500\ILSVRC2012_val_00015354.JPEG,a realistic image of category n02120079,n07614500,0.17918960750102997
data/ImageNet/ILSVRC/Images\n04067472\ILSVRC2012_val_00004853.JPEG,a realistic image of category n04200800,n04067472,0.2062963843345642
data/ImageNet/ILSVRC/Images\n03733281\ILSVRC2012_val_00005660.JPEG,a realistic image of category n04200800,n03733281,0.1551460474729538
data/ImageNet/ILSVRC/Images\n02090379\ILSVRC2012_val_00011113.JPEG,a realistic image of category n02007558,n02090379,0.20274190604686737
data/ImageNet/ILSVRC/Images\n03014705\ILSVRC2012_val_00048599.JPEG,a realistic image of category n04200800,n03014705,0.1769644320011139
data/ImageNet/ILSVRC/Images\n02787622\ILSVRC2012_val_00022234.JPEG,a realistic image of category n03180011,n02787622,0.209567591547966
data/ImageNet/ILSVRC/Images\n01443537\ILSVRC2012_val_00020785.JPEG,a realistic image of category n02120079,n01443537,0.1898345947265625
data/ImageNet/ILSVRC/Images\n03131574\ILSVRC2012_val_00037461.JPEG,a realistic image of category n04200800,n03131574,0.13084633648395538
data/ImageNet/ILSVRC/Images\n03690938\ILSVRC2012_val_00043006.JPEG,a realistic image of category n03201208,n03690938,0.15255309641361237
data/ImageNet/ILSVRC/Images\n03649909\ILSVRC2012_val_00021670.JPEG,a realistic image of category n04200800,n03649909,0.19038450717926025
data/ImageNet/ILSVRC/Images\n01530575\ILSVRC2012_val_00020889.JPEG,a realistic image of category n02086910,n01530575,0.2103683352470398
data/ImageNet/ILSVRC/Images\n03355925\ILSVRC2012_val_00017296.JPEG,a realistic image of category n02120079,n03355925,0.15127915143966675
data/ImageNet/ILSVRC/Images\n03887697\ILSVRC2012_val_00008412.JPEG,a realistic image of category n04200800,n03887697,0.21047590672969818
data/ImageNet/ILSVRC/Images\n03045698\ILSVRC2012_val_00004796.JPEG,a realistic image of category n04201297,n03045698,0.2022697627544403
data/ImageNet/ILSVRC/Images\n01498041\ILSVRC2012_val_00039308.JPEG,a realistic image of category n03201208,n01498041,0.17715735733509064
data/ImageNet/ILSVRC/Images\n04252225\ILSVRC2012_val_00023495.JPEG,a realistic image of category n04200800,n04252225,0.18401889503002167
data/ImageNet/ILSVRC/Images\n01729322\ILSVRC2012_val_00008595.JPEG,a realistic image of category n02120079,n01729322,0.195043683052063
data/ImageNet/ILSVRC/Images\n01644373\ILSVRC2012_val_00017138.JPEG,a realistic image of category n04201297,n01644373,0.21189656853675842
data/ImageNet/ILSVRC/Images\n03627232\ILSVRC2012_val_00002377.JPEG,a realistic image of category n03201208,n03627232,0.19211390614509583
data/ImageNet/ILSVRC/Images\n02325366\ILSVRC2012_val_00029387.JPEG,a realistic image of category n04201297,n02325366,0.1915496587753296
data/ImageNet/ILSVRC/Images\n03782006\ILSVRC2012_val_00015161.JPEG,a realistic image of category n03272010,n03782006,0.2056461125612259
data/ImageNet/ILSVRC/Images\n02051845\ILSVRC2012_val_00043470.JPEG,a realistic image of category n12985857,n02051845,0.1751994788646698
data/ImageNet/ILSVRC/Images\n07745940\ILSVRC2012_val_00046203.JPEG,a realistic image of category n04200800,n07745940,0.19656942784786224
data/ImageNet/ILSVRC/Images\n04428191\ILSVRC2012_val_00038305.JPEG,a realistic image of category n02111500,n04428191,0.19269169867038727
data/ImageNet/ILSVRC/Images\n07734744\ILSVRC2012_val_00025813.JPEG,a realistic image of category n02120079,n07734744,0.19502748548984528
data/ImageNet/ILSVRC/Images\n04579432\ILSVRC2012_val_00020952.JPEG,a realistic image of category n02808440,n04579432,0.14346104860305786
data/ImageNet/ILSVRC/Images\n02894605\ILSVRC2012_val_00024963.JPEG,a realistic image of category n12985857,n02894605,0.1632629930973053
data/ImageNet/ILSVRC/Images\n04044716\ILSVRC2012_val_00006683.JPEG,a realistic image of category n03201208,n04044716,0.1587800532579422
data/ImageNet/ILSVRC/Images\n04553703\ILSVRC2012_val_00000538.JPEG,a realistic image of category n03272010,n04553703,0.20910139381885529
data/ImageNet/ILSVRC/Images\n02787622\ILSVRC2012_val_00046921.JPEG,a realistic image of category n04200800,n02787622,0.19459393620491028
data/ImageNet/ILSVRC/Images\n04118538\ILSVRC2012_val_00040568.JPEG,a realistic image of category n03201208,n04118538,0.17323777079582214
data/ImageNet/ILSVRC/Images\n02129604\ILSVRC2012_val_00048375.JPEG,a realistic image of category n02002556,n02129604,0.22282837331295013
data/ImageNet/ILSVRC/Images\n02877765\ILSVRC2012_val_00038722.JPEG,a realistic image of category n13054560,n02877765,0.1445874571800232
data/ImageNet/ILSVRC/Images\n01630670\ILSVRC2012_val_00034124.JPEG,a realistic image of category n02100236,n01630670,0.23518243432044983
data/ImageNet/ILSVRC/Images\n02834397\ILSVRC2012_val_00027533.JPEG,a realistic image of category n13133613,n02834397,0.14788055419921875
data/ImageNet/ILSVRC/Images\n02094114\ILSVRC2012_val_00001379.JPEG,a realistic image of category n02790996,n02094114,0.1706935316324234
data/ImageNet/ILSVRC/Images\n01629819\ILSVRC2012_val_00018645.JPEG,a realistic image of category n02120079,n01629819,0.23048627376556396
data/ImageNet/ILSVRC/Images\n03000134\ILSVRC2012_val_00045378.JPEG,a realistic image of category n04200800,n03000134,0.17594429850578308
data/ImageNet/ILSVRC/Images\n02835271\ILSVRC2012_val_00049382.JPEG,a realistic image of category n04201297,n02835271,0.14307807385921478
data/ImageNet/ILSVRC/Images\n02981792\ILSVRC2012_val_00021210.JPEG,a realistic image of category n03201208,n02981792,0.17163771390914917
data/ImageNet/ILSVRC/Images\n02106030\ILSVRC2012_val_00014295.JPEG,a realistic image of category n03782006,n02106030,0.1950027197599411
data/ImageNet/ILSVRC/Images\n03388043\ILSVRC2012_val_00046842.JPEG,a realistic image of category n03201208,n03388043,0.16443832218647003
data/ImageNet/ILSVRC/Images\n04005630\ILSVRC2012_val_00042094.JPEG,a realistic image of category n04200800,n04005630,0.16226841509342194
data/ImageNet/ILSVRC/Images\n03930313\ILSVRC2012_val_00009043.JPEG,a realistic image of category n03201208,n03930313,0.19653034210205078
data/ImageNet/ILSVRC/Images\n01943899\ILSVRC2012_val_00009665.JPEG,a realistic image of category n13133613,n01943899,0.22396497428417206
data/ImageNet/ILSVRC/Images\n01873310\ILSVRC2012_val_00042336.JPEG,a realistic image of category n03201208,n01873310,0.201780304312706
data/ImageNet/ILSVRC/Images\n03404251\ILSVRC2012_val_00040740.JPEG,a realistic image of category n03201208,n03404251,0.2012815773487091
data/ImageNet/ILSVRC/Images\n03920288\ILSVRC2012_val_00014555.JPEG,a realistic image of category n02120079,n03920288,0.19717192649841309
data/ImageNet/ILSVRC/Images\n04367480\ILSVRC2012_val_00049045.JPEG,a realistic image of category n04200800,n04367480,0.152854785323143
data/ImageNet/ILSVRC/Images\n01531178\ILSVRC2012_val_00042032.JPEG,a realistic image of category n03992509,n01531178,0.22220566868782043
data/ImageNet/ILSVRC/Images\n03388183\ILSVRC2012_val_00023396.JPEG,a realistic image of category n02111500,n03388183,0.17613066732883453
data/ImageNet/ILSVRC/Images\n02096437\ILSVRC2012_val_00027512.JPEG,a realistic image of category n02120079,n02096437,0.2151264250278473
data/ImageNet/ILSVRC/Images\n03793489\ILSVRC2012_val_00048402.JPEG,a realistic image of category n04200800,n03793489,0.18134719133377075
data/ImageNet/ILSVRC/Images\n03814906\ILSVRC2012_val_00033046.JPEG,a realistic image of category n03201208,n03814906,0.14457200467586517
data/ImageNet/ILSVRC/Images\n02086646\ILSVRC2012_val_00022521.JPEG,a realistic image of category n02790996,n02086646,0.2319978028535843
data/ImageNet/ILSVRC/Images\n04389033\ILSVRC2012_val_00004353.JPEG,a realistic image of category n04201297,n04389033,0.24928240478038788
data/ImageNet/ILSVRC/Images\n03355925\ILSVRC2012_val_00020208.JPEG,a realistic image of category n04200800,n03355925,0.17958900332450867
data/ImageNet/ILSVRC/Images\n02814533\ILSVRC2012_val_00040706.JPEG,a realistic image of category n04141975,n02814533,0.209085613489151
data/ImageNet/ILSVRC/Images\n02111500\ILSVRC2012_val_00016369.JPEG,a realistic image of category n04201297,n02111500,0.18889077007770538
data/ImageNet/ILSVRC/Images\n03950228\ILSVRC2012_val_00009598.JPEG,a realistic image of category n04200800,n03950228,0.18464873731136322
data/ImageNet/ILSVRC/Images\n02101006\ILSVRC2012_val_00030087.JPEG,a realistic image of category n02790996,n02101006,0.16910606622695923
data/ImageNet/ILSVRC/Images\n02808440\ILSVRC2012_val_00042102.JPEG,a realistic image of category n02120079,n02808440,0.16243135929107666
data/ImageNet/ILSVRC/Images\n04310018\ILSVRC2012_val_00022127.JPEG,a realistic image of category n02120079,n04310018,0.1738361120223999
data/ImageNet/ILSVRC/Images\n03063689\ILSVRC2012_val_00012391.JPEG,a realistic image of category n02111500,n03063689,0.18921969830989838
data/ImageNet/ILSVRC/Images\n07753592\ILSVRC2012_val_00012444.JPEG,a realistic image of category n03201208,n07753592,0.21196657419204712
data/ImageNet/ILSVRC/Images\n03950228\ILSVRC2012_val_00018978.JPEG,a realistic image of category n01990800,n03950228,0.1894519329071045
data/ImageNet/ILSVRC/Images\n02607072\ILSVRC2012_val_00030654.JPEG,a realistic image of category n03201208,n02607072,0.14451247453689575
data/ImageNet/ILSVRC/Images\n02493509\ILSVRC2012_val_00022082.JPEG,a realistic image of category n04201297,n02493509,0.19464467465877533
data/ImageNet/ILSVRC/Images\n01514859\ILSVRC2012_val_00047753.JPEG,a realistic image of category n04201297,n01514859,0.23139147460460663
data/ImageNet/ILSVRC/Images\n03259280\ILSVRC2012_val_00004959.JPEG,a realistic image of category n03272010,n03259280,0.15747720003128052
data/ImageNet/ILSVRC/Images\n02835271\ILSVRC2012_val_00037433.JPEG,a realistic image of category n02120079,n02835271,0.19628594815731049
data/ImageNet/ILSVRC/Images\n02174001\ILSVRC2012_val_00029795.JPEG,a realistic image of category n02120079,n02174001,0.1677679717540741
data/ImageNet/ILSVRC/Images\n04523525\ILSVRC2012_val_00041517.JPEG,a realistic image of category n03201208,n04523525,0.1452977955341339
data/ImageNet/ILSVRC/Images\n02483362\ILSVRC2012_val_00003712.JPEG,a realistic image of category n02006656,n02483362,0.17436346411705017
data/ImageNet/ILSVRC/Images\n03786901\ILSVRC2012_val_00006228.JPEG,a realistic image of category n03291819,n03786901,0.17297430336475372
data/ImageNet/ILSVRC/Images\n04179913\ILSVRC2012_val_00012366.JPEG,a realistic image of category n04200800,n04179913,0.20143604278564453
data/ImageNet/ILSVRC/Images\n03976657\ILSVRC2012_val_00012001.JPEG,a realistic image of category n03201208,n03976657,0.18006636202335358
data/ImageNet/ILSVRC/Images\n02089973\ILSVRC2012_val_00043391.JPEG,a realistic image of category n02092002,n02089973,0.1733301877975464
data/ImageNet/ILSVRC/Images\n02457408\ILSVRC2012_val_00017781.JPEG,a realistic image of category n03201208,n02457408,0.18035291135311127
data/ImageNet/ILSVRC/Images\n03207941\ILSVRC2012_val_00033207.JPEG,a realistic image of category n04201297,n03207941,0.2344941943883896
data/ImageNet/ILSVRC/Images\n02124075\ILSVRC2012_val_00024000.JPEG,a realistic image of category n02120079,n02124075,0.2325953096151352
data/ImageNet/ILSVRC/Images\n04019541\ILSVRC2012_val_00014952.JPEG,a realistic image of category n03201208,n04019541,0.17528052628040314
data/ImageNet/ILSVRC/Images\n04523525\ILSVRC2012_val_00010559.JPEG,a realistic image of category n03201208,n04523525,0.1353856921195984
data/ImageNet/ILSVRC/Images\n03481172\ILSVRC2012_val_00013413.JPEG,a realistic image of category n03201208,n03481172,0.20735293626785278
data/ImageNet/ILSVRC/Images\n03838899\ILSVRC2012_val_00003175.JPEG,a realistic image of category n03992509,n03838899,0.19513359665870667
data/ImageNet/ILSVRC/Images\n04465501\ILSVRC2012_val_00019051.JPEG,a realistic image of category n04200800,n04465501,0.19092833995819092
